0xaa39e3cdL	0xc0525882L
0xd6ff59fcL	0x11368acc
0xf91f6afbL	0x3b91b085
0x1e544d36	0xf688d17eL
0xa2127b62L	0xb0bbc2e1L
0xfb7c3ae7L	0x49efc93
0xfa054634L	0x6e94716a
0xea9a781fL	0x89fa0238L
0x6e36e63b	0xa54a2a22L
0xf40dfd03L	0x2a32c4e8
0x398ea879	0xdda36206L
0xec54f3bfL	0xefbfb14eL
0xdd386bbeL	0x962bb05
0x9fbed5d5L	0xda9ac7e4L
0x7b7a539c	0x3cda8748
0x4f47b85f	0xf996bd11L
0xcc5e732eL	0x6f15773
0xd593875bL	0x8a7b5ce1L
0x74a6d18f	0x64cda2bb
0x701ea96a	0x3cc48a40
0x3ca9a56e	0x10d1becb
0xe027ddb6L	0xbbaf295fL
0x24ef0321	0xd00e5ec
0x129cfbd1	0xf819af25L
0xf436d980L	0x265431d0
0xbd2b6b9dL	0x2cfb97d8
0x7b1b94c0	0x6411496f
0xe7ade6d0L	0xad0d5592L
0x7ec85043	0x8d6e1900L
0xeacc6ad	0x482d26da
0x19b0650c	0x4b04408a
0xc079fadfL	0xc301b496L
0x611c8803	0x90b3b4b0L
0x575f781c	0x48c98555
0x61d18b4f	0x4b77297e
0x3cb24556	0x679df72c
0x538f1a25	0xe4043471L
0x36b6acea	0x218b2961
0x7de56403	0x40cce80e
0x428b14d0	0x7b6db202
0xbb4774bbL	0xed14db52L
0xb5929772L	0xd33337b5L
0xc40fd715L	0xe581c55bL
0x2b6f9a2a	0x3a4b3388
0xca9f0c4dL	0x44d97c90
0xcd1d7e43L	0x448f5484
0xad104372L	0xcafde44cL
0xe06b4e82L	0x82871db2L
0xc9991690L	0x47114cd0
0xb37df295L	0x58732bd4
